Match #3,,,,,,,,
Map: Map2,,,,,,,,
Start Time: 7/06/2025 9:25:39 PM,,,,,,,,
---,,,,,,,,
Team A using BDI,,,,,,,,
Team B using BehaviorTree,,,,,,,,
---,,,,,,,,
Match ended after 298.6 seconds,,,,,,,,
Winner: TeamB - TeamA has no commanders left.,,,,,,,,
,,,,,,,,
--- Final Match Metrics ---,,,,,,,,
Winner: TeamB.,,,,,,,,
Match Duration: 298.6 seconds,,,,,,,,
Team A Final Unit Count: 7,,,,,,,,
Team B Final Unit Count: 15,,,,,,,,
Team A Final Health %: 69.7,,,,,,,,
Team B Final Health %: 80.5,,,,,,,,
Team A Camp Count: 5,,,,,,,,
Team B Camp Count: 1,,,,,,,,
Team A Combat Encounters: 70,,,,,,,,
Team B Combat Encounters: 95,,,,,,,,
Team A Scouted Cells: 4489 cells,,,,,,,,
Team B Scouted Cells: 5926 cells,,,,,,,,
Team A Avg Reaction Time: 0.43 seconds,,,,,,,,
Team B Avg Reaction Time: 0.21 seconds,,,,,,,,
,,,,,,,,
--- Time Series Data ---,,,,,,,,
Time,TeamA_Units,TeamB_Units,TeamA_Health%,TeamB_Health%,TeamA_CombatEncounters,TeamB_CombatEncounters,TeamA_AvgReactionTime,TeamB_AvgReactionTime
10,15,15,100,100,0,9,N/A,N/A
20,15,15,100,100,0,9,N/A,N/A
30.1,15,15,100,100,0,9,N/A,N/A
40.2,15,15,100,100,0,9,N/A,N/A
50.2,15,15,100,100,6,9,N/A,N/A
60.2,15,15,100,100,10,9,N/A,N/A
70.3,15,15,100,100,10,9,N/A,N/A
80.3,15,15,100,100,14,9,N/A,N/A
90.3,15,15,100,100,41,11,N/A,N/A
100.3,15,15,100,100,42,11,N/A,N/A
110.3,15,15,100,100,42,16,N/A,N/A
120.3,15,15,100,100,42,18,N/A,N/A
130.4,15,15,100,100,42,21,N/A,N/A
140.4,15,15,100,100,42,28,N/A,N/A
150.5,15,15,100,100,42,38,N/A,N/A
160.5,15,15,100,100,42,38,N/A,N/A
170.5,15,15,90.4,100,42,41,N/A,0.13
180.6,14,15,82.6,100,42,50,N/A,0.19
190.7,13,15,83.2,100,42,59,N/A,0.22
200.7,12,15,88.6,100,42,60,N/A,0.19
210.8,12,15,83.8,100,42,62,N/A,0.19
220.8,10,15,93.9,100,42,64,N/A,0.15
230.9,10,15,93.4,100,42,65,N/A,0.15
240.9,10,15,92,100,42,68,N/A,0.27
251,10,15,92,100,42,70,N/A,0.22
261.1,10,15,92,100,46,77,0.42,0.45
271.1,10,15,92,100,57,84,0.29,0.28
281.2,10,15,92,100,60,84,0.35,0.28
291.2,9,15,72.1,100,66,86,0.43,0.24
